UIC;Nom gare;Taux de conformité moyen
87111849;Marne-la-Vallée Chessy;93.69
87111864;Balsièges Bourg;98.61
87113001;Paris Est;95.13
87118000;Troyes;92.13
87118158;Romilly-sur-Seine;94.82
87118190;Nogent-sur-Seine;94.77
87118257;Vendeuvre-sur-Barse;95.83
87141002;Nancy;95.96
87141010;Jarville-la-Malgrange;95.08
87141036;Foug;98.88
87141044;Toul;94.14
87141051;Fontenoy-sur-Moselle;97.5
87141069;Liverdun;95.88
87141077;Frouard;96.74
87141085;Champigneulles;94.11
87141101;Varangéville - Saint-Nicolas;95.79
87141119;Dombasle-sur-Meurthe;70.97
87141135;Blainville - Damelevières;94.46
87141150;Lunéville;96.17
87141291;Neufchâteau;96.99
87141416;Baccarat;99.07
87141788;Pompey;92.59
87141796;Marbache;95.81
87141804;Belleville;96.45
87141812;Dieulouard;94.14
87141820;Pont-à-Mousson;97.43
87142000;Chaumont;95.84
87142091;Langres;91.66
87142109;Lorraine TGV;94.28
87142125;Culmont - Chalindrey;97.3
87144006;Épinal;97.14
87144014;Saint-Dié-des-Vosges;93.74
87144055;Charmes;98.89
87144154;Bruyères;97.6
87144279;Vittel;97.08
87144287;Contrexéville;96.93
87144410;Arches;94.4
87144451;Remiremont;99.38
87144626;Raon-l'Étape;95.41
87144642;Étival-Clairefontaine;95.91
87147322;Meuse TGV;96.12
87159947;Ker Lann;89.29
87171009;Reims;93.68
87171330;Fismes;91.4
87171512;Dormans;93.08
87171553;Épernay;90.2
87171926;Champagne-Ardenne TGV;78.52
87172007;Charleville-Mézières;97.82
87172080;Revin;95.09
87172130;Givet;96.68
87172155;Mohon;96.74
87172254;Sedan;95.68
87172270;Rethel;96.09
87174003;Châlons-en-Champagne;88.14
87174276;Vitry-le-François;93.05
87175000;Saint-Dizier;91.31
87175018;Revigny-sur-Ornain;98.37
87175042;Bar-le-Duc;94.78
87175067;Nançois - Tronville;100.0
87175091;Joinville;96.24
87175240;Lérouville;94.66
87175257;Commercy;97.61
87175778;Verdun;95.39
87175794;Étain;85.35
87175828;Pagny-sur-Meuse;100.0
87182014;Colmar;92.99
87182063;Mulhouse;97.99
87182139;Saint-Louis;97.88
87182238;Altkirch;98.72
87182394;Munster;99.16
87182568;Thann;96.96
87184002;Belfort;97.72
87184523;Montbéliard;94.67
87185009;Vesoul;98.92
87185249;Lure;96.59
87185629;Aillevillers;98.33
87191007;Thionville;91.18
87191098;Walygator Parc;92.81
87191106;Maizières-lès-Metz;94.3
87191114;Hagondange;88.46
87191130;Uckange;81.41
87191163;Hettange-Grande;98.65
87191239;Hayange;88.28
87191635;Sierck-les-Bains;85.23
87191684;Auboué;75.11
87191692;Homécourt;89.82
87191700;Jœuf;95.33
87191718;Moyeuvre-Grande;83.18
87191734;Rombas - Clouange;90.73
87191742;Gandrange - Amnéville;89.84
87192039;Metz;93.48
87192070;Metz Nord;83.3
87192088;Woippy;97.41
87192203;Peltre;96.19
87192211;Courcelles-sur-Nied;95.09
87192229;Sanry-sur-Nied;92.48
87192237;Rémilly;90.52
87192286;Morhange;99.48
87192302;Bénestroff;100.0
87192401;Ars-sur-Moselle;89.99
87192419;Ancy-sur-Moselle;96.22
87192427;Novéant-sur-Moselle;96.75
87192435;Onville;99.59
87192468;Pagny-sur-Moselle;96.98
87192476;Vandières;96.97
87192658;Baroncourt;87.53
87192666;Conflans - Jarny;97.49
87192724;Hatrize;66.2
87192732;Valleroy - Moineville;89.1
87193003;Forbach;91.85
87193250;Béning;95.13
87193276;Hombourg-Haut;96.18
87193318;Saint-Avold;92.65
87193359;Faulquemont;95.95
87193540;Hundling;100.0
87193615;Sarreguemines;95.31
87193664;Kalhausen;97.0
87194001;Longwy;91.76
87194209;Montmédy;84.1
87194274;Longuyon;88.98
87194357;Audun-le-Roman;90.29
87212027;Strasbourg;97.43
87212100;Mundolsheim;93.33
87212118;Vendenheim;100.0
87212126;Stephansfeld;100.0
87212134;Brumath;93.33
87212142;Mommenheim;95.64
87212183;Dettwiller;89.17
87212209;Steinbourg;100.0
87212225;Saverne;97.28
87212274;Limersheim;90.0
87212308;Bischheim;93.75
87212324;Kilstett;96.43
87212332;Gambsheim;94.44
87212340;Herrlisheim;88.89
87212415;Roppenheim;96.43
87212431;Seltz;96.43
87212449;Munchhausen;95.45
87212456;Mothern;90.91
87212464;Lauterbourg;95.24
87213058;Haguenau;97.05
